Color_Channel 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 
1 	 1 	 0.433368 	 0.930781 	 0.591388 	 58.016288 
1 	 2 	 0.221996 	 0.706532 	 0.337840 	 79.663378 
1 	 3 	 0.878635 	 0.880738 	 0.879685 	 21.466865 
1 	 4 	 0.506892 	 0.888866 	 0.645612 	 52.331785 
1 	 5 	 0.909193 	 0.772361 	 0.835210 	 28.295230 
1 	 6 	 0.455864 	 0.749379 	 0.566881 	 60.444222 
1 	 7 	 0.643405 	 0.950670 	 0.767424 	 37.738165 
1 	 8 	 0.547988 	 0.952721 	 0.695777 	 46.652005 
1 	 9 	 0.570661 	 0.881654 	 0.692860 	 46.994162 
1 	 10 	 0.785219 	 0.928559 	 0.850895 	 25.951534 
1 	 11 	 0.580857 	 0.927929 	 0.714474 	 44.421677 
1 	 12 	 0.768024 	 0.812774 	 0.789765 	 34.739732 
1 	 13 	 0.761156 	 0.751511 	 0.756303 	 39.189136 
1 	 14 	 0.782448 	 0.749236 	 0.765482 	 36.929167 
1 	 15 	 0.621657 	 0.611666 	 0.616621 	 55.285714 
1 	 16 	 0.804190 	 0.668173 	 0.729899 	 42.532245 
1 	 17 	 0.407459 	 0.862042 	 0.553362 	 61.748423 
1 	 18 	 0.610923 	 0.919848 	 0.734213 	 41.995495 
1 	 19 	 0.810509 	 0.913465 	 0.858913 	 24.728563 
1 	 20 	 0.457552 	 0.834131 	 0.590947 	 58.060650 
1 	 21 	 0.424562 	 0.867911 	 0.570197 	 60.120583 
1 	 22 	 0.438544 	 0.870555 	 0.583266 	 58.830191 
1 	 23 	 0.367700 	 0.877080 	 0.518167 	 65.032001 
1 	 24 	 0.503741 	 0.876755 	 0.639853 	 52.957071 
1 	 25 	 0.943509 	 0.910548 	 0.926736 	 13.652617 
1 	 26 	 0.698176 	 0.915562 	 0.792227 	 34.406003 
1 	 27 	 0.747116 	 0.909167 	 0.820214 	 30.477725 
1 	 28 	 0.348686 	 0.811405 	 0.487764 	 67.745474 
1 	 29 	 0.628876 	 0.903426 	 0.741555 	 41.073757 
1 	 30 	 0.496869 	 0.848165 	 0.626641 	 54.371601 
1 	 31 	 0.620465 	 0.839954 	 0.713715 	 44.513411 
1 	 32 	 0.409964 	 0.570716 	 0.477165 	 68.666019 
1 	 33 	 0.297698 	 0.782597 	 0.431322 	 72.504123 
1 	 34 	 0.354923 	 0.808009 	 0.493203 	 67.268117 
1 	 35 	 0.789886 	 0.939081 	 0.858046 	 24.861534 
1 	 36 	 0.879673 	 0.869716 	 0.874666 	 22.274914 
1 	 37 	 0.735311 	 0.851266 	 0.789051 	 34.840265 
1 	 38 	 0.512835 	 0.885491 	 0.649506 	 51.905991 
1 	 39 	 0.470089 	 0.852599 	 0.606034 	 56.524427 
1 	 40 	 0.811259 	 0.839193 	 0.824990 	 29.788741 
1 	 41 	 0.589613 	 0.676092 	 0.629898 	 53.809796 
1 	 42 	 0.833593 	 0.959942 	 0.892317 	 19.442951 
1 	 43 	 0.466759 	 0.817888 	 0.594337 	 57.718401 
1 	 44 	 0.630294 	 0.921556 	 0.748592 	 40.180050 
1 	 45 	 0.774226 	 0.913725 	 0.838211 	 27.851639 
1 	 46 	 0.954731 	 0.539772 	 0.689643 	 47.369796 
1 	 47 	 0.947115 	 0.881903 	 0.913346 	 15.948697 
1 	 48 	 0.818643 	 0.529552 	 0.643103 	 52.604898 
1 	 49 	 0.896782 	 0.953188 	 0.924125 	 14.104781 
1 	 50 	 0.812092 	 0.941447 	 0.871998 	 22.687662 
1 	 51 	 0.828385 	 0.951085 	 0.885505 	 20.546578 
1 	 52 	 0.758307 	 0.929107 	 0.835063 	 28.316905 
2 	 1 	 0.443464 	 0.969745 	 0.608611 	 56.258765 
2 	 2 	 0.253744 	 0.842096 	 0.389978 	 75.778128 
2 	 3 	 0.880299 	 0.891413 	 0.885821 	 20.476163 
2 	 4 	 0.527872 	 0.966788 	 0.682885 	 48.152971 
2 	 5 	 0.919732 	 0.883891 	 0.901455 	 17.940927 
2 	 6 	 0.435036 	 0.688776 	 0.533261 	 63.643120 
2 	 7 	 0.644937 	 0.957047 	 0.770589 	 37.320527 
2 	 8 	 0.547540 	 0.951000 	 0.694957 	 46.748379 
2 	 9 	 0.578339 	 0.909786 	 0.707152 	 45.302832 
2 	 10 	 0.786722 	 0.936894 	 0.855266 	 25.286904 
2 	 11 	 0.588332 	 0.956938 	 0.728672 	 42.684166 
