Color_Channel 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.641316 	 0.841106 	 0.708923 	 43.261176 
2 	 0.647285 	 0.866647 	 0.721723 	 41.704580 
3 	 0.681566 	 0.881863 	 0.740230 	 38.156944 
4 	 0.918977 	 0.446152 	 0.576053 	 40.302410 
5 	 0.836173 	 0.805329 	 0.811927 	 23.206467 
6 	 0.641676 	 0.844722 	 0.711186 	 42.947015 
7 	 0.642596 	 0.846598 	 0.711886 	 42.897969 
8 	 0.576560 	 0.706402 	 0.610416 	 52.149282 
9 	 0.791476 	 0.627900 	 0.594520 	 43.434934 
10 	 0.461916 	 0.047446 	 0.140254 	 76.685040 
11 	 0.434027 	 0.098980 	 0.193709 	 72.202717 
12 	 0.090892 	 0.005852 	 0.030790 	 80.666589 
13 	 0.254840 	 0.159717 	 0.181626 	 86.547364 
14 	 0.554452 	 0.662022 	 0.584089 	 53.867859 
15 	 0.928328 	 0.927624 	 0.925206 	 8.914697 
16 	 0.683192 	 0.829664 	 0.722738 	 40.737194 
