HDRSet 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.448226 	 1.000000 	 0.619000 	 55.177360 
2 	 0.279163 	 1.000000 	 0.436478 	 72.083697 
3 	 0.887595 	 1.000000 	 0.940451 	 11.240452 
4 	 0.927851 	 0.918359 	 0.923081 	 8.095584 
5 	 0.989243 	 0.957233 	 0.972975 	 4.917232 
6 	 0.514964 	 1.000000 	 0.679837 	 48.503590 
7 	 0.916733 	 0.795146 	 0.851622 	 18.069338 
8 	 0.817917 	 0.813153 	 0.815528 	 20.462512 
9 	 0.778503 	 0.787409 	 0.782931 	 25.715831 
10 	 0.980657 	 0.734865 	 0.840153 	 22.148510 
11 	 0.553557 	 1.000000 	 0.712632 	 44.644271 
12 	 0.873815 	 0.985684 	 0.926385 	 11.923495 
13 	 0.934668 	 0.988293 	 0.960733 	 6.243879 
14 	 0.824382 	 0.999692 	 0.903612 	 16.757685 
15 	 0.911188 	 0.987094 	 0.947623 	 7.137227 
16 	 0.979345 	 0.984019 	 0.981676 	 2.959426 
17 	 0.766939 	 0.937412 	 0.843650 	 13.610765 
18 	 0.993774 	 0.961873 	 0.977563 	 2.736631 
19 	 0.991399 	 0.864262 	 0.923475 	 11.454695 
20 	 0.974994 	 0.380479 	 0.547358 	 28.590614 
21 	 0.971286 	 0.589017 	 0.733324 	 17.563232 
22 	 0.820157 	 0.926949 	 0.870289 	 11.705679 
23 	 0.708186 	 0.979176 	 0.821920 	 15.438948 
24 	 0.868161 	 0.902161 	 0.884834 	 11.303709 
25 	 1.000000 	 0.792646 	 0.884331 	 19.412260 
26 	 0.958984 	 0.879375 	 0.917456 	 10.427323 
27 	 0.999945 	 0.455560 	 0.625948 	 40.410870 
28 	 0.962697 	 0.575907 	 0.720685 	 15.908684 
29 	 0.970520 	 0.879105 	 0.922553 	 9.024175 
30 	 0.976729 	 0.582547 	 0.729814 	 21.150868 
31 	 0.969721 	 0.737301 	 0.837688 	 17.364244 
32 	 0.990142 	 0.848726 	 0.913996 	 7.116911 
33 	 0.775457 	 0.829715 	 0.801669 	 11.874971 
34 	 0.925755 	 0.691831 	 0.791879 	 12.755761 
35 	 0.999056 	 0.960743 	 0.979525 	 3.171231 
36 	 1.000000 	 0.818391 	 0.900127 	 15.929544 
37 	 0.995230 	 0.533127 	 0.694320 	 33.977467 
38 	 0.946842 	 0.604972 	 0.738250 	 21.367624 
39 	 0.880416 	 0.791675 	 0.833691 	 14.457888 
40 	 0.994145 	 0.891090 	 0.939801 	 9.253591 
41 	 0.992920 	 0.975304 	 0.984033 	 2.143673 
42 	 0.999075 	 0.884767 	 0.938453 	 9.677640 
43 	 0.995564 	 0.913378 	 0.952702 	 4.259386 
44 	 0.918365 	 0.939526 	 0.928825 	 9.027378 
45 	 0.992013 	 0.906620 	 0.947396 	 7.736303 
46 	 0.999949 	 0.986663 	 0.993262 	 1.305306 
47 	 0.999242 	 0.952092 	 0.975097 	 4.624024 
48 	 0.998073 	 0.921259 	 0.958129 	 7.206531 
49 	 0.992561 	 0.910239 	 0.949619 	 8.590417 
50 	 0.982435 	 0.908614 	 0.944084 	 8.651158 
51 	 0.990079 	 0.893104 	 0.939095 	 9.532447 
52 	 0.983436 	 0.805570 	 0.885661 	 15.647295 
