HDRSet 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.450433 	 0.997473 	 0.620613 	 55.008078 
2 	 0.287991 	 1.000000 	 0.447194 	 71.113506 
3 	 0.890873 	 0.953844 	 0.921284 	 14.523713 
4 	 0.576823 	 1.000000 	 0.731627 	 39.343353 
5 	 0.990966 	 0.967112 	 0.978894 	 3.871760 
6 	 0.561043 	 0.997168 	 0.718073 	 41.330995 
7 	 0.652870 	 0.976128 	 0.782425 	 35.554421 
8 	 0.553963 	 0.959988 	 0.702529 	 45.522689 
9 	 0.589816 	 0.933901 	 0.723008 	 43.021077 
10 	 0.811063 	 0.966222 	 0.881870 	 20.642866 
11 	 0.598269 	 0.904052 	 0.720041 	 42.106689 
12 	 0.826081 	 0.999988 	 0.904753 	 16.903068 
13 	 0.872722 	 0.996337 	 0.930441 	 12.054358 
14 	 0.809271 	 0.999861 	 0.894527 	 18.966960 
15 	 0.915923 	 0.998091 	 0.955243 	 6.798367 
16 	 0.983219 	 0.995985 	 0.989561 	 1.807347 
17 	 0.471823 	 0.999962 	 0.641133 	 49.672863 
18 	 0.862035 	 0.997064 	 0.924646 	 10.247798 
19 	 0.856767 	 0.998527 	 0.922231 	 13.876994 
20 	 0.824974 	 0.981629 	 0.896510 	 11.394877 
21 	 0.478218 	 0.999891 	 0.646997 	 50.133981 
22 	 0.502872 	 1.000000 	 0.669215 	 46.751275 
23 	 0.480718 	 1.000000 	 0.649304 	 43.067051 
24 	 0.665341 	 0.999812 	 0.798985 	 26.993266 
25 	 0.995413 	 0.960754 	 0.977777 	 4.141527 
26 	 0.930121 	 0.978076 	 0.953496 	 6.835217 
27 	 0.872573 	 0.997860 	 0.931020 	 11.306854 
28 	 0.554393 	 0.999768 	 0.713265 	 31.953074 
29 	 0.912037 	 0.988742 	 0.948842 	 6.954269 
30 	 0.562329 	 1.000000 	 0.719860 	 41.870865 
31 	 0.836638 	 0.979821 	 0.902587 	 13.971388 
32 	 0.982124 	 0.950100 	 0.965846 	 3.689133 
33 	 0.384170 	 1.000000 	 0.555091 	 56.320475 
34 	 0.429653 	 1.000000 	 0.601059 	 53.774528 
35 	 0.976347 	 0.987017 	 0.981653 	 2.951996 
36 	 0.985234 	 0.981313 	 0.983270 	 2.984374 
37 	 0.790087 	 0.999989 	 0.882732 	 20.337213 
38 	 0.600925 	 0.999536 	 0.750591 	 36.078072 
39 	 0.560952 	 1.000000 	 0.718730 	 39.910557 
40 	 0.904117 	 1.000000 	 0.949644 	 8.872865 
41 	 0.994140 	 0.944629 	 0.968752 	 4.127347 
42 	 0.947530 	 0.991387 	 0.968962 	 5.329838 
43 	 0.773071 	 0.996055 	 0.870510 	 15.319036 
44 	 0.941258 	 0.947037 	 0.944139 	 7.274376 
45 	 0.949371 	 0.995475 	 0.971877 	 4.549068 
46 	 0.997846 	 0.996944 	 0.997395 	 0.507755 
47 	 0.990947 	 0.999312 	 0.995112 	 0.935698 
48 	 0.992452 	 0.976167 	 0.984242 	 2.797551 
49 	 0.958587 	 0.995785 	 0.976832 	 4.256528 
50 	 0.956888 	 0.986883 	 0.971654 	 4.726456 
51 	 0.942272 	 0.996186 	 0.968479 	 5.417145 
52 	 0.821701 	 0.999816 	 0.902050 	 16.752364 
