FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.448226 	 1.000000 	 0.619000 	 55.177360 
2 	 0.279163 	 1.000000 	 0.436478 	 72.083697 
3 	 0.887595 	 1.000000 	 0.940451 	 11.240452 
4 	 0.528944 	 1.000000 	 0.691908 	 47.105611 
5 	 0.924719 	 1.000000 	 0.960887 	 7.528120 
6 	 0.514964 	 1.000000 	 0.679837 	 48.503590 
7 	 0.652140 	 1.000000 	 0.789449 	 34.785966 
8 	 0.556244 	 1.000000 	 0.714855 	 44.375592 
9 	 0.588972 	 1.000000 	 0.741325 	 41.102757 
10 	 0.792067 	 1.000000 	 0.883970 	 20.793338 
11 	 0.553557 	 1.000000 	 0.712632 	 44.644271 
12 	 0.761129 	 1.000000 	 0.864365 	 23.887106 
13 	 0.772877 	 1.000000 	 0.871890 	 22.712327 
14 	 0.785739 	 1.000000 	 0.880015 	 21.426103 
15 	 0.654090 	 1.000000 	 0.790876 	 34.590973 
16 	 0.805624 	 1.000000 	 0.892350 	 19.437607 
17 	 0.391730 	 1.000000 	 0.562940 	 60.826974 
18 	 0.619806 	 1.000000 	 0.765284 	 38.019441 
19 	 0.799708 	 1.000000 	 0.888709 	 20.029167 
20 	 0.454339 	 1.000000 	 0.624805 	 54.566109 
21 	 0.409976 	 1.000000 	 0.581536 	 59.002367 
22 	 0.423641 	 1.000000 	 0.595151 	 57.635933 
23 	 0.363867 	 1.000000 	 0.533581 	 63.613322 
24 	 0.481333 	 1.000000 	 0.649865 	 51.866680 
25 	 0.936191 	 1.000000 	 0.967044 	 6.380872 
26 	 0.658972 	 1.000000 	 0.794434 	 34.102764 
27 	 0.742213 	 1.000000 	 0.852034 	 25.778740 
28 	 0.356371 	 1.000000 	 0.525477 	 64.362901 
29 	 0.611399 	 1.000000 	 0.758843 	 38.860065 
30 	 0.490362 	 1.000000 	 0.658044 	 50.963848 
31 	 0.607734 	 1.000000 	 0.756013 	 39.226629 
32 	 0.445575 	 1.000000 	 0.616467 	 55.442524 
33 	 0.289254 	 1.000000 	 0.448715 	 71.074639 
34 	 0.350767 	 1.000000 	 0.519360 	 64.923260 
35 	 0.789546 	 1.000000 	 0.882398 	 21.045361 
36 	 0.877135 	 1.000000 	 0.934547 	 12.286477 
37 	 0.723806 	 1.000000 	 0.839776 	 27.619438 
38 	 0.498088 	 1.000000 	 0.664965 	 50.191153 
39 	 0.457738 	 1.000000 	 0.628011 	 54.226217 
40 	 0.810596 	 1.000000 	 0.895391 	 18.940379 
41 	 0.677290 	 1.000000 	 0.807600 	 32.271020 
42 	 0.833900 	 1.000000 	 0.909428 	 16.610007 
43 	 0.469657 	 1.000000 	 0.639138 	 53.034321 
44 	 0.626945 	 1.000000 	 0.770702 	 37.305498 
45 	 0.768408 	 1.000000 	 0.869039 	 23.159174 
46 	 0.975563 	 1.000000 	 0.987630 	 2.442449 
47 	 0.950857 	 1.000000 	 0.974810 	 4.914260 
48 	 0.895004 	 1.000000 	 0.944593 	 10.499592 
49 	 0.889437 	 1.000000 	 0.941483 	 11.056334 
50 	 0.803778 	 1.000000 	 0.891216 	 19.622210 
51 	 0.822861 	 1.000000 	 0.902823 	 17.713945 
52 	 0.752278 	 1.000000 	 0.858628 	 24.772239 
