FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.451059 	 1.000000 	 0.621696 	 54.894081 
2 	 0.287638 	 1.000000 	 0.446768 	 71.236216 
3 	 0.891047 	 1.000000 	 0.942385 	 10.895256 
4 	 0.565855 	 1.000000 	 0.722743 	 41.145435 
5 	 0.929055 	 0.999759 	 0.963111 	 7.110126 
6 	 0.531304 	 0.999968 	 0.693916 	 46.564796 
7 	 0.651950 	 0.986944 	 0.785210 	 35.362488 
8 	 0.553901 	 0.975713 	 0.706647 	 45.362065 
9 	 0.592456 	 0.964277 	 0.733963 	 42.026765 
10 	 0.794722 	 0.982040 	 0.878507 	 21.660737 
11 	 0.592504 	 0.961462 	 0.733182 	 41.913633 
12 	 0.816020 	 1.000000 	 0.898691 	 18.100486 
13 	 0.811165 	 1.000000 	 0.895738 	 18.837319 
14 	 0.806721 	 0.999979 	 0.893013 	 19.273991 
15 	 0.831741 	 1.000000 	 0.908142 	 14.704490 
16 	 0.981266 	 0.996792 	 0.988968 	 1.912653 
17 	 0.445166 	 1.000000 	 0.616076 	 55.304657 
18 	 0.666465 	 0.999883 	 0.799817 	 31.561745 
19 	 0.824021 	 1.000000 	 0.903522 	 17.597869 
20 	 0.564669 	 1.000000 	 0.721774 	 38.762698 
21 	 0.471391 	 0.999927 	 0.640727 	 51.525708 
22 	 0.474443 	 1.000000 	 0.643555 	 52.386425 
23 	 0.466245 	 1.000000 	 0.635972 	 45.641356 
24 	 0.539358 	 1.000000 	 0.700757 	 45.824916 
25 	 0.951370 	 1.000000 	 0.975079 	 4.847285 
26 	 0.760463 	 0.999236 	 0.863650 	 22.604389 
27 	 0.794946 	 0.999989 	 0.885756 	 19.725319 
28 	 0.436789 	 1.000000 	 0.608007 	 51.256887 
29 	 0.762109 	 0.999291 	 0.864731 	 20.391787 
30 	 0.556670 	 1.000000 	 0.715206 	 42.843453 
31 	 0.708830 	 0.999935 	 0.829586 	 27.138002 
32 	 0.839082 	 0.995148 	 0.910475 	 10.744549 
33 	 0.375566 	 1.000000 	 0.546053 	 58.415800 
34 	 0.419196 	 1.000000 	 0.590752 	 56.126313 
35 	 0.886342 	 0.999502 	 0.939527 	 10.295034 
36 	 0.903345 	 1.000000 	 0.949218 	 9.562110 
37 	 0.772396 	 1.000000 	 0.871584 	 22.555587 
38 	 0.584844 	 0.999814 	 0.737995 	 38.557751 
39 	 0.552869 	 1.000000 	 0.712061 	 41.239497 
40 	 0.843423 	 1.000000 	 0.915062 	 15.531942 
41 	 0.912849 	 0.999988 	 0.954434 	 6.466939 
42 	 0.853763 	 0.997901 	 0.920222 	 14.519984 
43 	 0.708835 	 0.997854 	 0.828872 	 21.300381 
44 	 0.707128 	 0.999308 	 0.828204 	 26.910949 
45 	 0.840530 	 1.000000 	 0.913356 	 14.980882 
46 	 0.994590 	 0.998912 	 0.996746 	 0.635918 
47 	 0.979528 	 1.000000 	 0.989658 	 1.991947 
48 	 0.941313 	 0.999489 	 0.969529 	 5.622857 
49 	 0.901136 	 1.000000 	 0.947997 	 9.886402 
50 	 0.820954 	 1.000000 	 0.901675 	 17.902325 
51 	 0.836316 	 1.000000 	 0.910863 	 16.350387 
52 	 0.775527 	 1.000000 	 0.873574 	 22.331469 
