FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 4.482264e-01 	 1 	 6.190005e-01 	 5.517736e+01
2 	 2.791630e-01 	 1 	 4.364776e-01 	 7.208370e+01
3 	 8.875955e-01 	 1 	 9.404510e-01 	 1.124045e+01
4 	 5.289439e-01 	 1 	 6.919075e-01 	 4.710561e+01
5 	 9.247188e-01 	 1 	 9.608872e-01 	 7.528120e+00
6 	 5.149641e-01 	 1 	 6.798367e-01 	 4.850359e+01
7 	 6.521403e-01 	 1 	 7.894491e-01 	 3.478597e+01
8 	 5.562441e-01 	 1 	 7.148546e-01 	 4.437559e+01
9 	 5.889724e-01 	 1 	 7.413249e-01 	 4.110276e+01
10 	 7.920666e-01 	 1 	 8.839701e-01 	 2.079334e+01
11 	 5.535573e-01 	 1 	 7.126320e-01 	 4.464427e+01
12 	 7.611289e-01 	 1 	 8.643648e-01 	 2.388711e+01
13 	 7.728767e-01 	 1 	 8.718900e-01 	 2.271233e+01
14 	 7.857390e-01 	 1 	 8.800155e-01 	 2.142610e+01
15 	 6.883643e-01 	 1 	 8.154215e-01 	 2.961192e+01
16 	 8.689317e-01 	 1 	 9.298699e-01 	 1.215191e+01
17 	 3.917303e-01 	 1 	 5.629399e-01 	 6.082697e+01
18 	 6.198056e-01 	 1 	 7.652839e-01 	 3.801944e+01
19 	 7.997083e-01 	 1 	 8.887088e-01 	 2.002917e+01
20 	 4.543389e-01 	 1 	 6.248047e-01 	 5.456611e+01
21 	 4.099763e-01 	 1 	 5.815365e-01 	 5.900237e+01
22 	 4.236407e-01 	 1 	 5.951511e-01 	 5.763593e+01
23 	 3.638668e-01 	 1 	 5.335811e-01 	 6.361332e+01
24 	 4.813332e-01 	 1 	 6.498649e-01 	 5.186668e+01
25 	 9.362070e-01 	 9.999325e-01 	 9.670210e-01 	 6.385085e+00
26 	 6.589724e-01 	 1 	 7.944344e-01 	 3.410276e+01
27 	 7.422126e-01 	 1 	 8.520345e-01 	 2.577874e+01
28 	 3.566645e-01 	 1 	 5.257962e-01 	 6.428060e+01
29 	 6.113994e-01 	 1 	 7.588427e-01 	 3.886006e+01
30 	 4.903615e-01 	 1 	 6.580437e-01 	 5.096385e+01
31 	 6.077337e-01 	 1 	 7.560129e-01 	 3.922663e+01
32 	 4.455748e-01 	 1 	 6.164673e-01 	 5.544252e+01
33 	 2.892536e-01 	 1 	 4.487148e-01 	 7.107464e+01
34 	 3.507674e-01 	 1 	 5.193602e-01 	 6.492326e+01
35 	 7.895464e-01 	 1 	 8.823984e-01 	 2.104536e+01
36 	 8.771352e-01 	 1 	 9.345467e-01 	 1.228648e+01
37 	 7.235569e-01 	 9.987570e-01 	 8.391705e-01 	 2.770941e+01
38 	 4.980002e-01 	 9.995736e-01 	 6.647924e-01 	 5.020870e+01
39 	 4.577507e-01 	 1 	 6.280233e-01 	 5.422341e+01
40 	 8.105962e-01 	 1 	 8.953915e-01 	 1.894038e+01
41 	 6.772898e-01 	 1 	 8.076002e-01 	 3.227102e+01
42 	 8.338999e-01 	 1 	 9.094280e-01 	 1.661001e+01
43 	 4.696568e-01 	 1 	 6.391381e-01 	 5.303432e+01
44 	 6.269450e-01 	 1 	 7.707022e-01 	 3.730550e+01
45 	 7.684083e-01 	 1 	 8.690394e-01 	 2.315917e+01
46 	 9.750449e-01 	 1 	 9.873648e-01 	 2.495510e+00
47 	 9.508574e-01 	 1 	 9.748097e-01 	 4.914260e+00
48 	 8.950041e-01 	 1 	 9.445933e-01 	 1.049959e+01
49 	 8.893632e-01 	 9.992539e-01 	 9.411115e-01 	 1.112270e+01
50 	 8.037779e-01 	 1 	 8.912160e-01 	 1.962221e+01
51 	 8.230314e-01 	 1 	 9.029262e-01 	 1.769319e+01
52 	 7.526051e-01 	 1 	 8.588416e-01 	 2.472873e+01
