FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 4.499856e-01 	 9.956726e-01 	 6.198399e-01 	 5.508927e+01
2 	 2.840073e-01 	 9.818114e-01 	 4.405712e-01 	 7.171876e+01
3 	 8.910474e-01 	 1 	 9.423851e-01 	 1.089526e+01
4 	 5.362499e-01 	 9.998747e-01 	 6.980979e-01 	 4.637861e+01
5 	 9.283841e-01 	 1 	 9.628622e-01 	 7.161595e+00
6 	 5.247745e-01 	 9.864747e-01 	 6.850978e-01 	 4.786824e+01
7 	 6.549256e-01 	 1 	 7.914864e-01 	 3.450744e+01
8 	 5.599542e-01 	 1 	 7.179111e-01 	 4.400458e+01
9 	 6.012092e-01 	 1 	 7.509439e-01 	 3.987908e+01
10 	 7.974553e-01 	 1 	 8.873159e-01 	 2.025447e+01
11 	 5.989500e-01 	 1 	 7.491792e-01 	 4.010500e+01
12 	 8.028251e-01 	 1 	 8.906301e-01 	 1.971749e+01
13 	 8.091809e-01 	 1 	 8.945274e-01 	 1.908191e+01
14 	 8.044123e-01 	 9.999893e-01 	 8.916016e-01 	 1.955946e+01
15 	 7.268735e-01 	 1 	 8.418376e-01 	 2.731265e+01
16 	 8.698513e-01 	 1 	 9.303962e-01 	 1.286857e+01
17 	 4.437324e-01 	 1 	 6.147017e-01 	 5.562676e+01
18 	 6.305878e-01 	 1 	 7.734484e-01 	 3.694122e+01
19 	 8.240213e-01 	 1 	 9.035216e-01 	 1.759787e+01
20 	 5.026077e-01 	 9.992665e-01 	 6.688164e-01 	 4.975777e+01
21 	 4.594060e-01 	 9.996720e-01 	 6.295144e-01 	 5.406632e+01
22 	 4.729147e-01 	 1 	 6.421481e-01 	 5.270853e+01
23 	 3.986865e-01 	 1 	 5.700870e-01 	 6.013135e+01
24 	 5.363972e-01 	 9.993568e-01 	 6.980965e-01 	 4.637879e+01
25 	 9.483013e-01 	 1 	 9.734647e-01 	 5.169868e+00
26 	 7.164321e-01 	 9.999882e-01 	 8.347882e-01 	 2.835739e+01
27 	 7.646814e-01 	 1 	 8.666510e-01 	 2.353186e+01
28 	 3.975147e-01 	 1 	 5.688880e-01 	 6.024853e+01
29 	 6.522529e-01 	 1 	 7.895316e-01 	 3.477471e+01
30 	 5.379235e-01 	 9.998281e-01 	 6.995031e-01 	 4.621262e+01
31 	 6.605270e-01 	 9.997149e-01 	 7.954728e-01 	 3.395974e+01
32 	 5.490294e-01 	 1 	 7.088689e-01 	 4.509706e+01
33 	 3.513413e-01 	 1 	 5.199890e-01 	 6.486587e+01
34 	 4.050932e-01 	 1 	 5.766068e-01 	 5.949068e+01
35 	 8.001279e-01 	 1 	 8.889678e-01 	 1.998721e+01
36 	 8.936742e-01 	 9.999046e-01 	 9.438096e-01 	 1.064020e+01
37 	 7.654052e-01 	 9.997782e-01 	 8.670322e-01 	 2.347248e+01
38 	 5.430070e-01 	 9.994893e-01 	 7.037031e-01 	 4.571436e+01
39 	 5.100609e-01 	 1 	 6.755501e-01 	 4.898021e+01
40 	 8.366436e-01 	 9.999395e-01 	 9.110320e-01 	 1.633987e+01
41 	 8.865997e-01 	 1 	 9.398917e-01 	 8.662857e+00
42 	 8.391869e-01 	 1 	 9.125629e-01 	 1.608131e+01
43 	 5.169609e-01 	 1 	 6.815745e-01 	 4.830391e+01
44 	 6.491193e-01 	 1 	 7.872315e-01 	 3.508807e+01
45 	 7.896067e-01 	 1 	 8.824360e-01 	 2.103933e+01
46 	 9.825766e-01 	 1 	 9.912118e-01 	 1.728980e+00
47 	 9.530675e-01 	 1 	 9.759698e-01 	 4.693253e+00
48 	 8.950041e-01 	 1 	 9.445933e-01 	 1.049959e+01
49 	 9.011360e-01 	 1 	 9.479974e-01 	 9.886402e+00
50 	 8.208506e-01 	 1 	 9.016122e-01 	 1.791494e+01
51 	 8.353976e-01 	 1 	 9.103179e-01 	 1.646024e+01
52 	 7.715268e-01 	 1 	 8.710303e-01 	 2.284732e+01
