FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 4.482264e-01 	 1 	 6.190005e-01 	 5.517736e+01
2 	 2.791630e-01 	 1 	 4.364776e-01 	 7.208370e+01
3 	 8.875955e-01 	 1 	 9.404510e-01 	 1.124045e+01
4 	 5.289439e-01 	 1 	 6.919075e-01 	 4.710561e+01
5 	 9.247188e-01 	 1 	 9.608872e-01 	 7.528120e+00
6 	 5.149641e-01 	 1 	 6.798367e-01 	 4.850359e+01
7 	 6.570933e-01 	 9.989686e-01 	 7.927428e-01 	 3.406436e+01
8 	 5.575557e-01 	 9.962965e-01 	 7.149854e-01 	 4.418288e+01
9 	 5.889724e-01 	 1 	 7.413249e-01 	 4.110276e+01
10 	 7.920648e-01 	 9.999892e-01 	 8.839647e-01 	 2.079420e+01
11 	 5.535573e-01 	 1 	 7.126320e-01 	 4.464427e+01
12 	 7.637679e-01 	 1 	 8.660639e-01 	 2.354159e+01
13 	 7.739054e-01 	 1 	 8.725442e-01 	 2.257940e+01
14 	 7.857752e-01 	 1 	 8.800382e-01 	 2.142149e+01
15 	 7.904684e-01 	 9.980181e-01 	 8.822004e-01 	 1.743342e+01
16 	 9.378343e-01 	 9.998170e-01 	 9.678343e-01 	 5.353963e+00
17 	 3.917303e-01 	 1 	 5.629399e-01 	 6.082697e+01
18 	 7.883692e-01 	 1 	 8.816627e-01 	 1.663814e+01
19 	 7.997083e-01 	 1 	 8.887088e-01 	 2.002917e+01
20 	 4.637390e-01 	 9.990484e-01 	 6.334450e-01 	 5.253233e+01
21 	 4.126905e-01 	 9.997102e-01 	 5.842123e-01 	 5.833966e+01
22 	 4.236407e-01 	 1 	 5.951511e-01 	 5.763593e+01
23 	 3.638668e-01 	 1 	 5.335811e-01 	 6.361332e+01
24 	 4.813332e-01 	 1 	 6.498649e-01 	 5.186668e+01
25 	 9.720455e-01 	 9.972210e-01 	 9.844724e-01 	 2.945018e+00
26 	 7.488704e-01 	 9.985859e-01 	 8.558857e-01 	 2.216021e+01
27 	 8.090348e-01 	 9.996997e-01 	 8.943180e-01 	 1.753627e+01
28 	 4.715249e-01 	 9.967619e-01 	 6.401993e-01 	 3.992736e+01
29 	 6.602580e-01 	 9.999385e-01 	 7.953485e-01 	 3.146195e+01
30 	 4.970161e-01 	 1 	 6.640090e-01 	 4.962494e+01
31 	 6.157640e-01 	 1 	 7.621955e-01 	 3.792250e+01
32 	 6.328841e-01 	 1 	 7.751733e-01 	 2.584638e+01
33 	 2.924217e-01 	 1 	 4.525175e-01 	 6.999124e+01
34 	 3.512502e-01 	 1 	 5.198892e-01 	 6.478582e+01
35 	 8.224900e-01 	 1 	 9.026003e-01 	 1.704001e+01
36 	 8.784848e-01 	 9.999888e-01 	 9.353072e-01 	 1.213370e+01
37 	 7.259225e-01 	 9.963676e-01 	 8.399115e-01 	 2.749148e+01
38 	 4.992804e-01 	 9.968668e-01 	 6.653303e-01 	 4.995198e+01
39 	 4.604652e-01 	 1 	 6.305733e-01 	 5.363392e+01
40 	 8.127341e-01 	 1 	 8.966942e-01 	 1.867733e+01
41 	 8.873108e-01 	 1 	 9.402911e-01 	 8.601633e+00
42 	 8.815806e-01 	 1 	 9.370639e-01 	 1.120146e+01
43 	 5.544360e-01 	 1 	 7.133597e-01 	 3.774326e+01
44 	 6.968830e-01 	 1 	 8.213683e-01 	 2.726967e+01
45 	 8.700531e-01 	 9.999880e-01 	 9.305065e-01 	 1.147736e+01
46 	 9.960471e-01 	 9.978483e-01 	 9.969469e-01 	 5.959184e-01
47 	 9.904375e-01 	 9.998916e-01 	 9.951421e-01 	 9.282396e-01
48 	 9.265018e-01 	 9.994892e-01 	 9.616125e-01 	 7.142041e+00
49 	 9.028923e-01 	 9.979108e-01 	 9.480266e-01 	 9.731887e+00
50 	 8.202360e-01 	 9.985534e-01 	 9.006534e-01 	 1.770650e+01
51 	 8.293495e-01 	 1 	 9.067152e-01 	 1.693153e+01
52 	 7.570813e-01 	 9.997349e-01 	 8.616503e-01 	 2.415128e+01
