FileNames 	 Precision 	 Recall 	 FScore 	 Error 
1 	 4.419702e-01 	 9.638903e-01 	 6.060499e-01 	 5.652284e+01
2 	 2.906090e-01 	 9.266113e-01 	 4.424533e-01 	 6.717188e+01
3 	 8.906548e-01 	 9.959704e-01 	 9.403731e-01 	 1.125431e+01
4 	 9.253242e-01 	 9.680729e-01 	 9.462160e-01 	 5.901923e+00
5 	 9.534659e-01 	 9.811061e-01 	 9.670886e-01 	 6.199465e+00
6 	 7.532395e-01 	 9.627620e-01 	 8.452095e-01 	 1.861389e+01
7 	 6.546479e-01 	 9.721405e-01 	 7.824124e-01 	 3.541191e+01
8 	 5.561523e-01 	 9.550449e-01 	 7.029532e-01 	 4.519650e+01
9 	 5.935679e-01 	 9.228894e-01 	 7.224701e-01 	 4.262802e+01
10 	 8.240754e-01 	 9.570790e-01 	 8.856113e-01 	 1.971623e+01
11 	 6.063154e-01 	 8.860128e-01 	 7.199531e-01 	 4.128450e+01
12 	 8.801671e-01 	 9.961075e-01 	 9.345552e-01 	 1.120024e+01
13 	 9.331155e-01 	 9.668714e-01 	 9.496936e-01 	 8.288655e+00
14 	 8.769840e-01 	 9.952397e-01 	 9.323771e-01 	 1.161286e+01
15 	 9.345841e-01 	 9.963950e-01 	 9.645002e-01 	 5.331429e+00
16 	 9.965168e-01 	 8.988031e-01 	 9.451412e-01 	 8.973878e+00
17 	 5.790624e-01 	 9.967864e-01 	 7.325595e-01 	 3.229516e+01
18 	 9.539749e-01 	 9.714857e-01 	 9.626507e-01 	 4.753635e+00
19 	 8.789349e-01 	 9.914273e-01 	 9.317982e-01 	 1.195923e+01
20 	 8.899140e-01 	 9.294347e-01 	 9.092451e-01 	 9.328796e+00
21 	 8.540652e-01 	 9.550955e-01 	 9.017594e-01 	 9.562050e+00
22 	 6.173334e-01 	 9.970911e-01 	 7.625475e-01 	 2.936686e+01
23 	 7.319663e-01 	 9.878131e-01 	 8.408589e-01 	 1.490718e+01
24 	 7.593022e-01 	 9.600897e-01 	 8.479722e-01 	 1.847138e+01
25 	 9.875295e-01 	 9.798778e-01 	 9.836888e-01 	 3.081610e+00
26 	 9.579891e-01 	 9.513448e-01 	 9.546554e-01 	 6.474760e+00
27 	 9.562097e-01 	 9.734473e-01 	 9.647515e-01 	 5.439362e+00
28 	 7.044705e-01 	 9.941860e-01 	 8.246219e-01 	 1.681014e+01
29 	 9.362532e-01 	 9.750087e-01 	 9.552380e-01 	 5.960081e+00
30 	 8.783638e-01 	 9.787490e-01 	 9.258433e-01 	 8.434697e+00
31 	 9.197635e-01 	 9.456188e-01 	 9.325120e-01 	 9.041720e+00
32 	 9.840958e-01 	 9.325644e-01 	 9.576374e-01 	 4.529874e+00
33 	 6.731148e-01 	 9.900843e-01 	 8.013958e-01 	 1.724141e+01
34 	 7.148635e-01 	 9.927664e-01 	 8.312017e-01 	 1.633404e+01
35 	 9.834801e-01 	 9.582698e-01 	 9.707113e-01 	 4.626869e+00
36 	 9.954577e-01 	 9.495796e-01 	 9.719776e-01 	 4.893214e+00
37 	 9.713589e-01 	 9.140648e-01 	 9.418413e-01 	 8.640875e+00
38 	 8.605134e-01 	 9.561866e-01 	 9.058308e-01 	 1.079795e+01
39 	 8.302533e-01 	 9.790708e-01 	 8.985419e-01 	 1.127439e+01
40 	 9.722015e-01 	 9.839123e-01 	 9.780218e-01 	 3.699768e+00
41 	 9.881886e-01 	 8.581381e-01 	 9.185831e-01 	 1.030286e+01
42 	 9.813595e-01 	 9.805375e-01 	 9.809483e-01 	 3.196249e+00
43 	 9.812946e-01 	 9.309485e-01 	 9.554588e-01 	 4.487076e+00
44 	 8.701468e-01 	 9.830293e-01 	 9.231501e-01 	 1.062410e+01
45 	 9.757792e-01 	 9.643436e-01 	 9.700277e-01 	 4.705528e+00
46 	 9.995792e-01 	 9.942734e-01 	 9.969192e-01 	 5.991837e-01
47 	 9.948698e-01 	 9.944931e-01 	 9.946814e-01 	 1.013605e+00
48 	 9.893868e-01 	 9.837648e-01 	 9.865678e-01 	 2.397551e+00
49 	 9.230146e-01 	 9.963969e-01 	 9.583030e-01 	 7.813666e+00
50 	 8.612397e-01 	 9.989343e-01 	 9.249907e-01 	 1.329868e+01
51 	 8.931864e-01 	 9.997892e-01 	 9.434861e-01 	 1.000579e+01
52 	 8.282782e-01 	 9.996424e-01 	 9.059278e-01 	 1.601746e+01
