alpha_value 	 Set_number 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.010000 	 1 	 0.463176 	 0.990945 	 0.631284 	 52.213101 	 51.804680 	 0.408421 
0.010000 	 2 	 0.289687 	 1.000000 	 0.449236 	 70.528978 	 70.528978 	 0.000000 
0.010000 	 3 	 0.888327 	 0.946118 	 0.916312 	 15.399122 	 10.597963 	 4.801160 
0.010000 	 4 	 0.577644 	 0.999875 	 0.732253 	 39.213133 	 39.206412 	 0.006721 
0.010000 	 5 	 0.940731 	 1.000000 	 0.969460 	 5.849147 	 5.849147 	 0.000000 
0.010000 	 6 	 0.565563 	 0.998054 	 0.721996 	 40.570307 	 40.467602 	 0.102705 
0.010000 	 7 	 0.666331 	 0.989472 	 0.796370 	 33.140028 	 32.450555 	 0.689473 
0.010000 	 8 	 0.571018 	 0.976390 	 0.720607 	 42.395862 	 41.073797 	 1.322065 
0.010000 	 9 	 0.606219 	 0.978877 	 0.748742 	 39.497681 	 38.227726 	 1.269955 
0.010000 	 10 	 0.815231 	 0.991613 	 0.894813 	 18.591219 	 17.922404 	 0.668815 
0.010000 	 11 	 0.613513 	 0.977522 	 0.753877 	 38.229467 	 36.883150 	 1.346317 
0.010000 	 12 	 0.830886 	 0.998994 	 0.907218 	 16.404630 	 16.323829 	 0.080801 
0.010000 	 13 	 0.871736 	 0.999311 	 0.931174 	 11.953587 	 11.897820 	 0.055766 
0.010000 	 14 	 0.837282 	 0.999593 	 0.911266 	 15.659471 	 15.626698 	 0.032773 
0.010000 	 15 	 0.761935 	 1.000000 	 0.864884 	 22.711020 	 22.711020 	 0.000000 
0.010000 	 16 	 0.947805 	 0.999991 	 0.973199 	 4.737143 	 4.736327 	 0.000816 
0.010000 	 17 	 0.470422 	 0.999830 	 0.639812 	 49.952188 	 49.944638 	 0.007549 
0.010000 	 18 	 0.796159 	 1.000000 	 0.886513 	 16.144993 	 16.144993 	 0.000000 
0.010000 	 19 	 0.848149 	 0.991294 	 0.914152 	 15.342078 	 14.624709 	 0.717369 
0.010000 	 20 	 0.577885 	 0.995882 	 0.731373 	 36.782110 	 36.575083 	 0.207027 
0.010000 	 21 	 0.506574 	 0.998414 	 0.672126 	 44.757997 	 44.685145 	 0.072852 
0.010000 	 22 	 0.501374 	 0.999858 	 0.667855 	 47.032278 	 47.025567 	 0.006711 
0.010000 	 23 	 0.440149 	 0.999853 	 0.611228 	 50.709547 	 50.703683 	 0.005864 
0.010000 	 24 	 0.599354 	 0.998290 	 0.749014 	 35.897306 	 35.805556 	 0.091751 
0.010000 	 25 	 0.969172 	 0.991055 	 0.979991 	 3.837718 	 2.989444 	 0.848275 
0.010000 	 26 	 0.770973 	 0.998636 	 0.870160 	 21.351210 	 21.253516 	 0.097694 
0.010000 	 27 	 0.819016 	 0.996352 	 0.899023 	 17.115001 	 16.836082 	 0.278920 
0.010000 	 28 	 0.438192 	 0.998273 	 0.609044 	 50.946224 	 50.877560 	 0.068664 
0.010000 	 29 	 0.730680 	 0.999691 	 0.844275 	 24.053965 	 24.033779 	 0.020187 
0.010000 	 30 	 0.566355 	 0.998875 	 0.722855 	 41.205101 	 41.144577 	 0.060524 
0.010000 	 31 	 0.697321 	 0.999624 	 0.821546 	 28.687619 	 28.662791 	 0.024828 
0.010000 	 32 	 0.727448 	 0.996569 	 0.841003 	 20.688196 	 20.499797 	 0.188399 
0.010000 	 33 	 0.384843 	 0.999760 	 0.555756 	 56.155542 	 56.147127 	 0.008415 
0.010000 	 34 	 0.442492 	 0.999150 	 0.613351 	 51.029798 	 50.995374 	 0.034425 
0.010000 	 35 	 0.902607 	 0.999990 	 0.948806 	 8.634276 	 8.633446 	 0.000830 
0.010000 	 36 	 0.938486 	 0.999151 	 0.967869 	 5.928662 	 5.852752 	 0.075910 
0.010000 	 37 	 0.820961 	 0.994621 	 0.899485 	 17.015171 	 16.603418 	 0.411753 
0.010000 	 38 	 0.607593 	 0.996982 	 0.755040 	 35.135794 	 34.971883 	 0.163911 
0.010000 	 39 	 0.542512 	 0.999767 	 0.703356 	 43.002101 	 42.990243 	 0.011858 
0.010000 	 40 	 0.889074 	 0.997208 	 0.940041 	 10.643053 	 10.409445 	 0.233607 
0.010000 	 41 	 0.919496 	 1.000000 	 0.958060 	 5.929796 	 5.929796 	 0.000000 
0.010000 	 42 	 0.918410 	 0.999773 	 0.957366 	 7.472524 	 7.453503 	 0.019020 
0.010000 	 43 	 0.651563 	 0.999587 	 0.788897 	 27.655507 	 27.634173 	 0.021335 
0.010000 	 44 	 0.697406 	 0.999987 	 0.821727 	 28.164807 	 28.163975 	 0.000832 
0.010000 	 45 	 0.847817 	 0.999587 	 0.917467 	 14.200253 	 14.167622 	 0.032631 
0.010000 	 46 	 0.991037 	 0.999816 	 0.995407 	 0.899592 	 0.881633 	 0.017959 
0.010000 	 47 	 0.976679 	 0.999639 	 0.988026 	 2.309314 	 2.274871 	 0.034443 
0.010000 	 48 	 0.943366 	 0.994071 	 0.968055 	 5.871837 	 5.341224 	 0.530612 
0.010000 	 49 	 0.932623 	 0.990442 	 0.960664 	 7.309257 	 6.447948 	 0.861309 
0.010000 	 50 	 0.874533 	 0.997541 	 0.931996 	 11.949463 	 11.747586 	 0.201877 
0.010000 	 51 	 0.903179 	 0.997149 	 0.947841 	 9.168057 	 8.929904 	 0.238153 
0.010000 	 52 	 0.821457 	 0.998656 	 0.901431 	 16.850184 	 16.746511 	 0.103673 
0.020000 	 1 	 0.471029 	 0.985454 	 0.637395 	 50.573676 	 49.917578 	 0.656098 
0.020000 	 2 	 0.305415 	 0.998962 	 0.467806 	 65.377664 	 65.347815 	 0.029848 
0.020000 	 3 	 0.885771 	 0.904870 	 0.895218 	 18.874404 	 10.397846 	 8.476558 
0.020000 	 4 	 0.612736 	 0.999828 	 0.759822 	 33.897622 	 33.888380 	 0.009241 
0.020000 	 5 	 0.947136 	 1.000000 	 0.972850 	 5.181717 	 5.181717 	 0.000000 
0.020000 	 6 	 0.592587 	 0.995207 	 0.742850 	 36.369405 	 36.116399 	 0.253006 
0.020000 	 7 	 0.672710 	 0.984190 	 0.799173 	 32.395364 	 31.359918 	 1.035446 
0.020000 	 8 	 0.577721 	 0.969079 	 0.723891 	 41.395046 	 39.663594 	 1.731452 
0.020000 	 9 	 0.609934 	 0.968114 	 0.748375 	 39.139595 	 37.222588 	 1.917007 
0.020000 	 10 	 0.827291 	 0.989514 	 0.901160 	 17.309672 	 16.473444 	 0.836228 
0.020000 	 11 	 0.621205 	 0.962466 	 0.755067 	 37.399661 	 35.151566 	 2.248095 
0.020000 	 12 	 0.840461 	 0.998775 	 0.912804 	 15.319166 	 15.220841 	 0.098325 
0.020000 	 13 	 0.890510 	 0.999009 	 0.941644 	 10.019372 	 9.939146 	 0.080225 
0.020000 	 14 	 0.845951 	 0.999367 	 0.916282 	 14.690079 	 14.639195 	 0.050884 
0.020000 	 15 	 0.805631 	 0.999978 	 0.892345 	 17.537959 	 17.536327 	 0.001633 
0.020000 	 16 	 0.953206 	 0.999972 	 0.976029 	 4.224490 	 4.222041 	 0.002449 
0.020000 	 17 	 0.481912 	 0.999754 	 0.650341 	 47.703328 	 47.692424 	 0.010905 
0.020000 	 18 	 0.866304 	 0.999987 	 0.928357 	 9.732541 	 9.731722 	 0.000819 
0.020000 	 19 	 0.864827 	 0.988236 	 0.922422 	 13.697441 	 12.728024 	 0.969417 
0.020000 	 20 	 0.653420 	 0.992815 	 0.788132 	 26.838100 	 26.476850 	 0.361250 
0.020000 	 21 	 0.533221 	 0.997029 	 0.694837 	 40.240328 	 40.103835 	 0.136493 
0.020000 	 22 	 0.513632 	 0.999805 	 0.678630 	 44.781741 	 44.772514 	 0.009227 
0.020000 	 23 	 0.482209 	 0.999496 	 0.650556 	 42.809034 	 42.788929 	 0.020105 
0.020000 	 24 	 0.666751 	 0.997506 	 0.799261 	 26.884680 	 26.750842 	 0.133838 
0.020000 	 25 	 0.983028 	 0.988805 	 0.985908 	 2.680514 	 1.618891 	 1.061624 
0.020000 	 26 	 0.802395 	 0.998060 	 0.889596 	 17.748320 	 17.609358 	 0.138961 
0.020000 	 27 	 0.856997 	 0.995421 	 0.921037 	 13.051587 	 12.701454 	 0.350134 
0.020000 	 28 	 0.465870 	 0.996461 	 0.634906 	 45.555258 	 45.414580 	 0.140678 
0.020000 	 29 	 0.773863 	 0.999484 	 0.872321 	 19.083867 	 19.050222 	 0.033644 
0.020000 	 30 	 0.579842 	 0.998109 	 0.733541 	 39.009423 	 38.907709 	 0.101714 
0.020000 	 31 	 0.715289 	 0.999443 	 0.833822 	 26.316105 	 26.279291 	 0.036814 
0.020000 	 32 	 0.768761 	 0.994014 	 0.866996 	 16.744267 	 16.415606 	 0.328661 
0.020000 	 33 	 0.402023 	 0.999473 	 0.573403 	 52.250160 	 52.231647 	 0.018513 
0.020000 	 34 	 0.467049 	 0.998114 	 0.636336 	 46.214557 	 46.138152 	 0.076406 
0.020000 	 35 	 0.925503 	 0.999979 	 0.961301 	 6.442077 	 6.440416 	 0.001661 
0.020000 	 36 	 0.953098 	 0.998597 	 0.975317 	 4.517076 	 4.391696 	 0.125380 
0.020000 	 37 	 0.839536 	 0.991482 	 0.909205 	 15.157612 	 14.505599 	 0.652013 
