Set_number 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.909219 	 0.819651 	 0.862115 	 11.826167 
2 	 0.866435 	 0.926900 	 0.895648 	 6.212586 
3 	 0.935301 	 0.573046 	 0.710673 	 41.575736 
4 	 0.894815 	 0.936491 	 0.915178 	 9.309496 
5 	 0.975705 	 0.996155 	 0.985824 	 2.659760 
6 	 0.900977 	 0.929083 	 0.914814 	 9.133267 
7 	 0.888057 	 0.879066 	 0.883539 	 15.177476 
8 	 0.731706 	 0.894453 	 0.804935 	 24.274924 
9 	 0.751642 	 0.794390 	 0.772425 	 28.142202 
10 	 0.949962 	 0.874827 	 0.910847 	 13.656720 
11 	 0.915304 	 0.747851 	 0.823148 	 19.247248 
12 	 0.949590 	 0.969891 	 0.959633 	 6.550754 
13 	 0.978039 	 0.961152 	 0.969522 	 4.889837 
14 	 0.895443 	 0.973389 	 0.932791 	 11.283409 
15 	 0.950208 	 0.990813 	 0.970086 	 4.441633 
16 	 0.975977 	 0.997959 	 0.986846 	 2.288163 
17 	 0.878550 	 0.944367 	 0.910270 	 8.261475 
18 	 0.983984 	 0.997649 	 0.990769 	 1.172230 
19 	 0.998514 	 0.845272 	 0.915524 	 12.853626 
20 	 0.884678 	 0.935219 	 0.909247 	 9.386630 
21 	 0.920875 	 0.891876 	 0.906144 	 8.489365 
22 	 0.915639 	 0.923500 	 0.919553 	 7.641592 
23 	 0.858440 	 0.957682 	 0.905349 	 7.983447 
24 	 0.976484 	 0.861193 	 0.915222 	 8.560606 
25 	 0.997209 	 0.954815 	 0.975551 	 4.538356 
26 	 0.968311 	 0.926741 	 0.947070 	 7.421382 
27 	 0.989110 	 0.915320 	 0.950785 	 7.245984 
28 	 0.733197 	 0.964653 	 0.833148 	 15.358979 
29 	 0.965181 	 0.954789 	 0.959957 	 5.195515 
30 	 0.885153 	 0.951888 	 0.917309 	 9.232438 
31 	 0.933287 	 0.931557 	 0.932421 	 8.920148 
32 	 0.957191 	 0.960258 	 0.958722 	 4.539834 
33 	 0.725577 	 0.956673 	 0.825252 	 14.234744 
34 	 0.853840 	 0.893341 	 0.873144 	 10.515445 
35 	 0.977027 	 0.997924 	 0.987365 	 2.043562 
36 	 0.998546 	 0.963514 	 0.980717 	 3.386101 
37 	 0.995658 	 0.775801 	 0.872086 	 17.420133 
38 	 0.901626 	 0.909928 	 0.905758 	 10.284365 
39 	 0.787691 	 0.965135 	 0.867431 	 15.042689 
40 	 0.978284 	 0.954952 	 0.966477 	 5.542484 
41 	 0.982854 	 0.996252 	 0.989507 	 1.431020 
42 	 0.984065 	 0.995615 	 0.989806 	 1.720930 
43 	 0.971134 	 0.967447 	 0.969287 	 3.169456 
44 	 0.936820 	 0.943256 	 0.940027 	 7.812695 
45 	 0.981996 	 0.979655 	 0.980824 	 3.024624 
46 	 0.997087 	 0.997095 	 0.997091 	 0.567347 
47 	 0.997137 	 0.976828 	 0.986878 	 2.475787 
48 	 0.995911 	 0.959695 	 0.977467 	 3.960000 
49 	 0.994427 	 0.946725 	 0.969990 	 5.278908 
50 	 0.969862 	 0.964903 	 0.967376 	 5.342182 
51 	 0.986463 	 0.950914 	 0.968363 	 5.190732 
52 	 0.943065 	 0.958864 	 0.950899 	 7.640021 
