Set_number 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.577545 	 0.891656 	 0.701022 	 34.090366 
2 	 0.620680 	 0.988249 	 0.762478 	 17.188234 
3 	 0.902965 	 0.685388 	 0.779274 	 34.462278 
4 	 0.813123 	 0.984947 	 0.890825 	 12.769789 
5 	 0.966469 	 0.996027 	 0.981025 	 3.562920 
6 	 0.895152 	 0.930356 	 0.912415 	 9.198055 
7 	 0.766389 	 0.944954 	 0.846356 	 22.374092 
8 	 0.714820 	 0.896407 	 0.795381 	 25.654976 
9 	 0.700889 	 0.869615 	 0.776189 	 29.537028 
10 	 0.942293 	 0.882068 	 0.911187 	 13.619607 
11 	 0.797906 	 0.864426 	 0.829835 	 19.624477 
12 	 0.878965 	 0.984290 	 0.928650 	 11.511983 
13 	 0.942986 	 0.980614 	 0.961432 	 6.080640 
14 	 0.826410 	 0.999619 	 0.904799 	 16.528411 
15 	 0.915962 	 0.986253 	 0.949809 	 6.817805 
16 	 0.972840 	 0.991510 	 0.982086 	 2.914053 
17 	 0.566381 	 0.988925 	 0.720254 	 30.092457 
18 	 0.975885 	 0.999089 	 0.987351 	 1.586673 
19 	 0.972542 	 0.910200 	 0.940339 	 9.236482 
20 	 0.823367 	 0.942806 	 0.879048 	 11.787810 
21 	 0.789264 	 0.944773 	 0.860045 	 12.606148 
22 	 0.610098 	 0.985017 	 0.753497 	 27.303163 
23 	 0.623765 	 0.993180 	 0.766273 	 22.045765 
24 	 0.729161 	 0.987337 	 0.838833 	 18.261722 
25 	 0.998058 	 0.936511 	 0.966305 	 6.114388 
26 	 0.942138 	 0.919476 	 0.930669 	 9.027560 
27 	 0.975259 	 0.928276 	 0.951187 	 7.071345 
28 	 0.563440 	 0.992746 	 0.718877 	 27.670233 
29 	 0.940518 	 0.941443 	 0.940980 	 7.220468 
30 	 0.794167 	 0.967552 	 0.872328 	 13.887936 
31 	 0.947263 	 0.818854 	 0.878390 	 13.779387 
32 	 0.984649 	 0.920928 	 0.951723 	 4.163010 
33 	 0.492793 	 0.990628 	 0.658174 	 29.763496 
34 	 0.633731 	 0.978815 	 0.769349 	 20.586430 
35 	 0.986097 	 0.989690 	 0.987891 	 1.915679 
36 	 0.999975 	 0.890345 	 0.941981 	 9.620218 
37 	 0.977072 	 0.800478 	 0.880003 	 15.801102 
38 	 0.792941 	 0.928381 	 0.855332 	 15.642257 
39 	 0.731877 	 0.960751 	 0.830840 	 17.907650 
40 	 0.984737 	 0.930091 	 0.956634 	 6.835317 
41 	 0.982176 	 0.992901 	 0.987509 	 1.701224 
42 	 0.987195 	 0.993414 	 0.990295 	 1.623759 
43 	 0.977971 	 0.963592 	 0.970728 	 2.729343 
44 	 0.847887 	 0.985312 	 0.911449 	 12.003185 
45 	 0.972067 	 0.981422 	 0.976722 	 3.594618 
46 	 0.999251 	 0.994483 	 0.996861 	 0.610612 
47 	 0.997779 	 0.977676 	 0.987625 	 2.329615 
48 	 0.996915 	 0.937430 	 0.966258 	 5.859592 
49 	 0.991255 	 0.923041 	 0.955932 	 7.569351 
50 	 0.974108 	 0.936856 	 0.955119 	 7.076878 
51 	 0.981222 	 0.932947 	 0.956476 	 6.986671 
52 	 0.943319 	 0.930145 	 0.936686 	 9.459447 
