Set_number 	 Precision 	 Recall 	 FScore 	 Error 
1 	 0.796386 	 0.902380 	 0.846076 	 14.809773 
2 	 0.327018 	 0.999625 	 0.492816 	 59.182489 
3 	 0.910383 	 0.719461 	 0.803740 	 31.308007 
4 	 0.561288 	 1.000000 	 0.719006 	 41.916676 
5 	 0.973001 	 0.994438 	 0.983603 	 3.078149 
6 	 0.691065 	 0.991553 	 0.814478 	 23.843520 
7 	 0.669795 	 0.964946 	 0.790726 	 33.451403 
8 	 0.575605 	 0.943894 	 0.715118 	 42.110856 
9 	 0.595026 	 0.919981 	 0.722654 	 42.454802 
10 	 0.864339 	 0.936757 	 0.899092 	 16.768091 
11 	 0.633919 	 0.855463 	 0.728214 	 38.246401 
12 	 0.817023 	 1.000000 	 0.899298 	 17.979770 
13 	 0.842774 	 0.999879 	 0.914629 	 15.103902 
14 	 0.807393 	 0.999904 	 0.893395 	 19.195508 
15 	 0.863090 	 0.999888 	 0.926466 	 11.537143 
16 	 0.971366 	 0.998795 	 0.984890 	 2.635918 
17 	 0.634566 	 0.996749 	 0.775452 	 25.614850 
18 	 0.972592 	 0.982346 	 0.977445 	 2.858898 
19 	 0.962876 	 0.946978 	 0.954861 	 7.377685 
20 	 0.798261 	 0.988914 	 0.883419 	 13.123177 
21 	 0.697735 	 0.989649 	 0.818441 	 20.175013 
22 	 0.676639 	 0.997251 	 0.806241 	 22.668098 
23 	 0.670872 	 0.999937 	 0.803000 	 19.560701 
24 	 0.823090 	 0.994776 	 0.900825 	 11.752525 
25 	 0.993493 	 0.968701 	 0.980940 	 3.569752 
26 	 0.949641 	 0.960514 	 0.955046 	 6.478128 
27 	 0.960104 	 0.971163 	 0.965602 	 5.291001 
28 	 0.597160 	 0.999305 	 0.747583 	 26.825041 
29 	 0.920029 	 0.986421 	 0.952069 	 6.478203 
30 	 0.730171 	 0.997437 	 0.843131 	 19.967048 
31 	 0.856429 	 0.975350 	 0.912029 	 12.429475 
32 	 0.971912 	 0.965594 	 0.968743 	 3.421059 
33 	 0.563584 	 0.997341 	 0.720196 	 27.227439 
34 	 0.615319 	 0.999710 	 0.761770 	 25.329762 
35 	 0.964541 	 0.994552 	 0.979317 	 3.361372 
36 	 0.972734 	 0.994216 	 0.983358 	 3.007403 
37 	 0.940480 	 0.970198 	 0.955108 	 6.981127 
38 	 0.818447 	 0.976538 	 0.890531 	 13.039751 
39 	 0.680923 	 0.999618 	 0.810052 	 23.904831 
40 	 0.972032 	 0.992511 	 0.982165 	 3.015813 
41 	 0.933208 	 0.999964 	 0.965433 	 4.849796 
42 	 0.984856 	 0.982469 	 0.983661 	 2.738933 
43 	 0.975473 	 0.963799 	 0.969601 	 3.124227 
44 	 0.864428 	 0.987105 	 0.921702 	 10.886188 
45 	 0.976767 	 0.964926 	 0.970811 	 4.581698 
46 	 0.998632 	 0.996073 	 0.997351 	 0.515918 
47 	 0.996664 	 0.987153 	 0.991886 	 1.539269 
48 	 0.971491 	 0.996443 	 0.983809 	 2.935510 
49 	 0.990056 	 0.969379 	 0.979608 	 3.636826 
50 	 0.960630 	 0.983399 	 0.971881 	 4.670940 
51 	 0.979464 	 0.971904 	 0.975669 	 4.049442 
52 	 0.925808 	 0.985241 	 0.954600 	 7.230346 
