alpha_value 	 Precision 	 Recall 	 FScore 	 Error 	 sky_Error 	 cloud_Error 
0.010000 	 0.725239 	 0.995618 	 0.825064 	 25.710046 	 25.393028 	 0.317018 
0.020000 	 0.751069 	 0.993156 	 0.841838 	 22.536913 	 22.043824 	 0.493088 
0.030000 	 0.767159 	 0.991095 	 0.852344 	 20.607680 	 19.967921 	 0.639758 
0.040000 	 0.779799 	 0.988609 	 0.860538 	 19.088486 	 18.265439 	 0.823047 
0.050000 	 0.790136 	 0.986718 	 0.867035 	 17.947553 	 16.989127 	 0.958425 
0.060000 	 0.799577 	 0.984686 	 0.872661 	 16.966304 	 15.865408 	 1.100896 
0.070000 	 0.808252 	 0.982754 	 0.877858 	 16.075759 	 14.842140 	 1.233619 
0.080000 	 0.815338 	 0.981078 	 0.881882 	 15.405722 	 14.051809 	 1.353912 
0.090000 	 0.822209 	 0.979590 	 0.885816 	 14.763297 	 13.306367 	 1.456930 
0.100000 	 0.827342 	 0.978546 	 0.888951 	 14.265546 	 12.750604 	 1.514943 
0.110000 	 0.833291 	 0.976443 	 0.891799 	 13.798730 	 12.122723 	 1.676008 
0.120000 	 0.837914 	 0.974996 	 0.894157 	 13.419883 	 11.642793 	 1.777090 
0.130000 	 0.842009 	 0.973632 	 0.896212 	 13.094276 	 11.226153 	 1.868124 
0.140000 	 0.845212 	 0.972489 	 0.897680 	 12.858715 	 10.912160 	 1.946555 
0.150000 	 0.849042 	 0.971472 	 0.899837 	 12.547497 	 10.530959 	 2.016537 
0.160000 	 0.851969 	 0.970461 	 0.901259 	 12.337980 	 10.252210 	 2.085770 
0.170000 	 0.854499 	 0.969677 	 0.902488 	 12.156705 	 10.017166 	 2.139540 
0.180000 	 0.856964 	 0.968846 	 0.903650 	 11.985400 	 9.789506 	 2.195894 
0.190000 	 0.859437 	 0.967929 	 0.904751 	 11.816067 	 9.558809 	 2.257258 
0.200000 	 0.861728 	 0.967050 	 0.905756 	 11.665999 	 9.350225 	 2.315774 
0.210000 	 0.864295 	 0.966199 	 0.906990 	 11.491018 	 9.118251 	 2.372767 
0.220000 	 0.866222 	 0.965416 	 0.907799 	 11.370591 	 8.945184 	 2.425407 
0.230000 	 0.868250 	 0.964616 	 0.908649 	 11.246776 	 8.766664 	 2.480112 
0.240000 	 0.872202 	 0.945195 	 0.910528 	 11.818195 	 8.302090 	 3.516105 
0.250000 	 0.872219 	 0.963156 	 0.910415 	 11.003551 	 8.425044 	 2.578506 
0.260000 	 0.874084 	 0.962458 	 0.911220 	 10.889032 	 8.263592 	 2.625440 
0.270000 	 0.875852 	 0.961685 	 0.911916 	 10.789001 	 8.112359 	 2.676642 
0.280000 	 0.877487 	 0.960880 	 0.912512 	 10.702597 	 7.972441 	 2.730156 
0.290000 	 0.879135 	 0.960127 	 0.913157 	 10.611771 	 7.832813 	 2.778958 
0.300000 	 0.880848 	 0.959360 	 0.913843 	 10.520075 	 7.691168 	 2.828907 
0.310000 	 0.882318 	 0.958579 	 0.914334 	 10.449180 	 7.567621 	 2.881559 
0.320000 	 0.876290 	 0.957995 	 0.909766 	 11.188550 	 8.264386 	 2.924164 
0.330000 	 0.885673 	 0.957025 	 0.915586 	 10.274740 	 7.290658 	 2.984081 
0.340000 	 0.887203 	 0.956259 	 0.916119 	 10.201627 	 7.167154 	 3.034473 
0.350000 	 0.888621 	 0.955450 	 0.916556 	 10.137831 	 7.050602 	 3.087229 
0.360000 	 0.890179 	 0.954576 	 0.917054 	 10.067327 	 6.925114 	 3.142213 
0.370000 	 0.891859 	 0.953601 	 0.917534 	 9.993899 	 6.788765 	 3.205134 
0.380000 	 0.885852 	 0.953902 	 0.913501 	 10.681608 	 7.481568 	 3.200040 
0.390000 	 0.895102 	 0.951848 	 0.918598 	 9.852774 	 6.533779 	 3.318995 
0.400000 	 0.896400 	 0.951072 	 0.918973 	 9.801152 	 6.431414 	 3.369737 
0.410000 	 0.897786 	 0.950214 	 0.919350 	 9.745393 	 6.319882 	 3.425511 
0.420000 	 0.899141 	 0.949316 	 0.919697 	 9.694704 	 6.212436 	 3.482268 
0.430000 	 0.900494 	 0.948383 	 0.920009 	 9.648235 	 6.105416 	 3.542819 
0.440000 	 0.903378 	 0.947197 	 0.921252 	 9.520674 	 5.910063 	 3.610611 
0.450000 	 0.904620 	 0.946255 	 0.921483 	 9.485237 	 5.814232 	 3.671004 
0.460000 	 0.905901 	 0.945406 	 0.921785 	 9.442145 	 5.715540 	 3.726604 
0.470000 	 0.907389 	 0.944406 	 0.922128 	 9.390500 	 5.599942 	 3.790558 
0.480000 	 0.905110 	 0.943783 	 0.920518 	 9.693456 	 5.867808 	 3.825649 
0.490000 	 0.910011 	 0.942510 	 0.922652 	 9.312617 	 5.400681 	 3.911935 
0.500000 	 0.911156 	 0.941502 	 0.922790 	 9.290415 	 5.313904 	 3.976511 
0.510000 	 0.910831 	 0.923182 	 0.904883 	 10.745816 	 5.301428 	 5.444388 
0.520000 	 0.910669 	 0.942119 	 0.922850 	 9.286992 	 5.355340 	 3.931652 
0.530000 	 0.907957 	 0.942382 	 0.921580 	 9.530687 	 5.622669 	 3.908018 
0.540000 	 0.910585 	 0.942556 	 0.923074 	 9.271232 	 5.377046 	 3.894185 
0.550000 	 0.910319 	 0.942827 	 0.923069 	 9.272886 	 5.399509 	 3.873377 
0.560000 	 0.910045 	 0.943096 	 0.923055 	 9.275734 	 5.421984 	 3.853750 
0.570000 	 0.909232 	 0.943527 	 0.922774 	 9.300118 	 5.471072 	 3.829046 
0.580000 	 0.907134 	 0.943862 	 0.921876 	 9.474664 	 5.671644 	 3.803020 
0.590000 	 0.905127 	 0.944106 	 0.920773 	 9.667403 	 5.879687 	 3.787716 
0.600000 	 0.908330 	 0.944379 	 0.922724 	 9.319721 	 5.553293 	 3.766428 
0.610000 	 0.908032 	 0.944641 	 0.922687 	 9.326045 	 5.578138 	 3.747906 
0.620000 	 0.907646 	 0.944922 	 0.922600 	 9.339545 	 5.608884 	 3.730661 
0.630000 	 0.907144 	 0.945355 	 0.922532 	 9.346916 	 5.646038 	 3.700877 
0.640000 	 0.903253 	 0.947669 	 0.921607 	 9.539916 	 6.024256 	 3.515660 
0.650000 	 0.906227 	 0.946021 	 0.922419 	 9.370726 	 5.715810 	 3.654915 
0.660000 	 0.896024 	 0.948577 	 0.916502 	 10.415488 	 6.885871 	 3.529617 
0.670000 	 0.905893 	 0.946368 	 0.922416 	 9.366347 	 5.739640 	 3.626707 
0.680000 	 0.905914 	 0.946473 	 0.922479 	 9.356284 	 5.737656 	 3.618627 
0.690000 	 0.905661 	 0.946531 	 0.922355 	 9.372185 	 5.758007 	 3.614177 
0.700000 	 0.898993 	 0.928176 	 0.904348 	 10.454160 	 5.647952 	 4.806208 
0.710000 	 0.906107 	 0.946372 	 0.922498 	 9.344298 	 5.719263 	 3.625035 
0.720000 	 0.906329 	 0.946104 	 0.922455 	 9.341664 	 5.697789 	 3.643876 
0.730000 	 0.905536 	 0.944534 	 0.921232 	 9.481498 	 5.736026 	 3.745472 
0.740000 	 0.911085 	 0.944448 	 0.924307 	 9.277963 	 5.506528 	 3.771435 
0.750000 	 0.909055 	 0.944043 	 0.922951 	 9.265662 	 5.496822 	 3.768840 
0.760000 	 0.905030 	 0.947521 	 0.921872 	 9.605510 	 6.046159 	 3.559351 
0.770000 	 0.911976 	 0.942147 	 0.923685 	 9.170027 	 5.292504 	 3.877523 
0.780000 	 0.913189 	 0.941094 	 0.923819 	 9.147261 	 5.205469 	 3.941792 
0.790000 	 0.914758 	 0.939978 	 0.924109 	 9.100431 	 5.092741 	 4.007690 
0.800000 	 0.916046 	 0.938937 	 0.924291 	 9.072887 	 5.004150 	 4.068737 
0.810000 	 0.918035 	 0.937791 	 0.924841 	 9.023381 	 4.886281 	 4.137100 
0.820000 	 0.919284 	 0.936523 	 0.924887 	 9.007328 	 4.798185 	 4.209143 
0.830000 	 0.920695 	 0.935166 	 0.924947 	 8.991419 	 4.697135 	 4.294284 
0.840000 	 0.922082 	 0.933912 	 0.925054 	 8.970325 	 4.598653 	 4.371672 
0.850000 	 0.923839 	 0.932340 	 0.925212 	 8.943837 	 4.479817 	 4.464021 
0.860000 	 0.925320 	 0.930924 	 0.925283 	 8.927783 	 4.377565 	 4.550218 
0.870000 	 0.927019 	 0.929042 	 0.925235 	 8.919183 	 4.254668 	 4.664515 
